gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts
RPRC002285,6,21,0,0
RPRC002284,1,1,0,1
RPRC009982,2,1,0,0
RPRC000450,1934,1263,956,626
RPRC002351,218,147,126,84
RPRC002350,3386,2478,1511,1026
RPRC002352,7448,6165,3266,2309
RPRC002366,2239,1460,744,537
RPRC002349,21,8,4,4
RPRC001072,140,85,13,12
RPRC002365,0,0,0,0
RPRC002364,0,0,0,0
RPRC001073,21,10,0,3
RPRC002363,0,1,0,0
RPRC002362,1,1,0,0
RPRC002361,2,0,0,0
RPRC010988,337,287,43,24
RPRC010984,32,19,0,0
RPRC010964,268,152,51,43
RPRC001074,2462,1841,810,566
RPRC010983,4,3,3,0
RPRC010981,5733,4041,2194,1991
RPRC010960,4899,3891,2869,2287
RPRC010979,2209,1542,1843,1499
RPRC010977,129,86,41,30
RPRC010976,866,525,634,355
RPRC010968,5753,3606,1189,909
RPRC006457,0,0,0,0
RPRC000786,0,0,1,0
RPRC001134,0,0,0,0
RPRC008302,3956,3198,990,811
RPRC008441,547,387,83,68
RPRC008303,1806,1269,441,385
RPRC017364,333,251,63,63
RPRC017365,949,761,291,217
RPRC008442,2632,1861,1041,707
RPRC008429,1436,947,1481,1010
RPRC008322,3587,2230,1461,1081
RPRC017195,1,0,0,0
RPRC008395,4193,1849,2412,1769
RPRC008427,41,14,64,35
RPRC008394,620,491,295,246
RPRC008323,744,595,279,188
RPRC008392,76,85,49,31
RPRC008391,1911,1310,824,584
RPRC008383,0,1,0,0
RPRC008382,1244,784,272,207
RPRC001133,17,9,0,1
RPRC008324,2,2,0,0
RPRC008443,0,1,0,0
RPRC008444,0,0,0,0
RPRC008326,2778,1995,1158,850
RPRC008379,2894,2011,949,852
RPRC008445,594,402,145,100
RPRC008329,3691,2551,2576,1650
RPRC008446,0,3,0,0
RPRC000123,6,9,3,0
RPRC000063,570,486,657,455
RPRC008447,81,69,99,68
RPRC008373,8736,6489,2581,1850
RPRC008376,416,338,386,274
RPRC000272,277,178,149,121
RPRC000087,1487,1214,653,487
RPRC000285,649,501,287,237
RPRC013672,2342,1646,788,628
