gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts,Rep1_CondA_CPM,Rep2_CondA_CPM,Rep1_CondB_CPM,Rep2_CondB_CPM
RPRC016675,0,0,0,0,0.00,0.00,0.00,0.00
RPRC016941,0,0,0,0,0.00,0.00,0.00,0.00
RPRC002178,0,0,0,0,0.00,0.00,0.00,0.00
RPRC012682,615,431,216,164,30.59,31.21,27.03,27.90
RPRC012684,2856,1807,1660,1104,142.06,130.83,207.70,187.80
RPRC012687,733,570,843,466,36.46,41.27,105.48,79.27
RPRC017163,3,2,6,1,0.15,0.14,0.75,0.17
RPRC002057,0,0,0,0,0.00,0.00,0.00,0.00
RPRC017467,0,2,0,0,0.00,0.14,0.00,0.00
RPRC000496,1029,819,32,40,51.18,59.30,4.00,6.80
RPRC014546,0,0,1,0,0.00,0.00,0.13,0.00
RPRC003466,4,1,2,1,0.20,0.07,0.25,0.17
RPRC003465,0,0,0,0,0.00,0.00,0.00,0.00
RPRC003464,0,3,0,0,0.00,0.22,0.00,0.00
RPRC003463,1,1,0,0,0.05,0.07,0.00,0.00
RPRC010535,1,0,0,0,0.05,0.00,0.00,0.00
RPRC010538,0,1,0,0,0.00,0.07,0.00,0.00
RPRC004120,0,0,0,0,0.00,0.00,0.00,0.00
RPRC014003,16600,13206,4670,3395,825.70,956.16,584.32,577.51
RPRC008077,3939,3533,1757,1224,195.93,255.80,219.84,208.21
RPRC008078,906,623,151,134,45.07,45.11,18.89,22.79
RPRC008079,5,3,2,0,0.25,0.22,0.25,0.00
RPRC010838,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013561,73,52,42,50,3.63,3.76,5.26,8.51
RPRC013559,0,1,0,0,0.00,0.07,0.00,0.00
RPRC013558,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013289,0,0,0,0,0.00,0.00,0.00,0.00
RPRC009583,0,0,0,0,0.00,0.00,0.00,0.00
RPRC003545,0,0,0,0,0.00,0.00,0.00,0.00
RPRC006585,0,3,0,1,0.00,0.22,0.00,0.17
RPRC010962,0,0,0,1,0.00,0.00,0.00,0.17
RPRC013071,0,1,0,0,0.00,0.07,0.00,0.00
RPRC003989,2,6,0,1,0.10,0.43,0.00,0.17
RPRC006187,0,0,0,0,0.00,0.00,0.00,0.00
RPRC006186,0,0,0,0,0.00,0.00,0.00,0.00
RPRC009321,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013805,187,120,83,59,9.30,8.69,10.39,10.04
RPRC014425,3,2,0,0,0.15,0.14,0.00,0.00
RPRC009165,3,6,0,0,0.15,0.43,0.00,0.00
RPRC013042,0,0,0,0,0.00,0.00,0.00,0.00
RPRC007340,0,1,0,0,0.00,0.07,0.00,0.00
RPRC007339,38,20,22,10,1.89,1.45,2.75,1.70
RPRC007231,509,307,288,159,25.32,22.23,36.04,27.05
RPRC007232,101,89,33,21,5.02,6.44,4.13,3.57
RPRC007316,2506,1608,464,358,124.65,116.42,58.06,60.90
RPRC007233,268,162,92,48,13.33,11.73,11.51,8.17
RPRC007234,6488,5143,3303,2228,322.72,372.37,413.28,378.99
RPRC007294,1739,1281,412,308,86.50,92.75,51.55,52.39
RPRC007230,16693,10583,1685,1890,830.32,766.24,210.83,321.50
RPRC007314,346,284,60,45,17.21,20.56,7.51,7.65
RPRC007206,2803,1495,1650,928,139.42,108.24,206.45,157.86
RPRC007295,14,1,7,5,0.70,0.07,0.88,0.85
RPRC007313,216,141,283,171,10.74,10.21,35.41,29.09
RPRC007205,1305,832,306,237,64.91,60.24,38.29,40.31
RPRC007297,709,605,280,232,35.27,43.80,35.03,39.46
RPRC013495,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013490,1173,620,136,157,58.35,44.89,17.02,26.71
RPRC013488,274,128,71,43,13.63,9.27,8.88,7.31
RPRC013484,6366,4475,1245,1029,316.65,324.00,155.78,175.04
RPRC013481,11,1999,2,1,0.55,144.73,0.25,0.17
RPRC013478,107,121,15,17,5.32,8.76,1.88,2.89
RPRC015373,1114,868,1014,750,55.41,62.85,126.87,127.58
RPRC015372,105,96,197,153,5.22,6.95,24.65,26.03
RPRC008903,503,233,254,126,25.02,16.87,31.78,21.43
RPRC008928,0,0,0,0,0.00,0.00,0.00,0.00
RPRC008925,0,0,0,0,0.00,0.00,0.00,0.00
RPRC008915,0,1,0,0,0.00,0.07,0.00,0.00
RPRC004280,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013942,0,0,0,0,0.00,0.00,0.00,0.00
RPRC015364,17,13,6,6,0.85,0.94,0.75,1.02
RPRC010484,0,0,0,0,0.00,0.00,0.00,0.00
RPRC010481,0,0,0,0,0.00,0.00,0.00,0.00
RPRC002256,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013948,0,0,0,0,0.00,0.00,0.00,0.00
RPRC010820,5,6,6,4,0.25,0.43,0.75,0.68
RPRC011815,0,0,0,0,0.00,0.00,0.00,0.00
RPRC008524,1,0,0,0,0.05,0.00,0.00,0.00
RPRC017139,0,0,0,0,0.00,0.00,0.00,0.00
RPRC011296,0,0,0,0,0.00,0.00,0.00,0.00
RPRC002293,0,0,0,0,0.00,0.00,0.00,0.00
RPRC006377,565,518,343,275,28.10,37.50,42.92,46.78
RPRC006367,871,691,398,357,43.32,50.03,49.80,60.73
RPRC017485,1,2,0,0,0.05,0.14,0.00,0.00
RPRC009506,48,17,17,15,2.39,1.23,2.13,2.55
RPRC009504,891,566,427,284,44.32,40.98,53.43,48.31
RPRC009493,478,320,281,175,23.78,23.17,35.16,29.77
RPRC009497,12,4,1,1,0.60,0.29,0.13,0.17
RPRC009496,32,61,3,3,1.59,4.42,0.38,0.51
RPRC009495,225,161,75,73,11.19,11.66,9.38,12.42
RPRC010000,1,1,0,0,0.05,0.07,0.00,0.00
RPRC009999,2,2,0,0,0.10,0.14,0.00,0.00
RPRC009980,1,0,0,0,0.05,0.00,0.00,0.00
RPRC009981,352,432,83,187,17.51,31.28,10.39,31.81
RPRC000527,0,2,0,1,0.00,0.14,0.00,0.17
RPRC009998,0,0,0,0,0.00,0.00,0.00,0.00
RPRC009979,123,49,64,22,6.12,3.55,8.01,3.74
RPRC014137,167,120,68,33,8.31,8.69,8.51,5.61
RPRC014139,3446,2443,892,696,171.41,176.88,111.61,118.39
RPRC001942,1835,1293,1280,875,91.27,93.62,160.16,148.84
RPRC002162,3,3,1,0,0.15,0.22,0.13,0.00
RPRC002161,4,5,0,0,0.20,0.36,0.00,0.00
RPRC014155,14,12,13,23,0.70,0.87,1.63,3.91
RPRC014154,2243,1427,848,619,111.57,103.32,106.10,105.30
RPRC014153,1,1,0,0,0.05,0.07,0.00,0.00
RPRC014148,1715,1190,1281,841,85.31,86.16,160.28,143.06
RPRC014149,1083,693,665,446,53.87,50.18,83.21,75.87
RPRC014136,2505,2024,1127,704,124.60,146.54,141.01,119.75
RPRC014152,1220,861,324,242,60.68,62.34,40.54,41.17
RPRC014135,5030,3489,1332,901,250.20,252.61,166.66,153.26
RPRC014133,1,0,0,0,0.05,0.00,0.00,0.00
RPRC011627,48,33,0,0,2.39,2.39,0.00,0.00
RPRC011625,15,13,0,3,0.75,0.94,0.00,0.51
RPRC012650,0,0,0,0,0.00,0.00,0.00,0.00
RPRC007901,71,35,63,32,3.53,2.53,7.88,5.44
RPRC007900,34,27,35,11,1.69,1.95,4.38,1.87
RPRC007876,574,385,449,300,28.55,27.88,56.18,51.03
RPRC000264,452,320,206,240,22.48,23.17,25.78,40.83
RPRC007898,1155,727,1293,849,57.45,52.64,161.78,144.42
RPRC017483,2,2,6,4,0.10,0.14,0.75,0.68
RPRC007885,722,481,947,626,35.91,34.83,118.49,106.49
RPRC007887,234,134,364,230,11.64,9.70,45.54,39.12
RPRC007889,4244,2665,1521,1039,211.10,192.95,190.31,176.74
RPRC001264,2299,1345,957,613,114.35,97.38,119.74,104.27
RPRC007873,2847,2580,2031,1497,141.61,186.80,254.12,254.65
RPRC010610,0,0,0,0,0.00,0.00,0.00,0.00
RPRC008898,6,7,1,2,0.30,0.51,0.13,0.34
RPRC017461,8,9,2,3,0.40,0.65,0.25,0.51
RPRC008897,383,266,140,115,19.05,19.26,17.52,19.56
RPRC008896,566,474,159,159,28.15,34.32,19.89,27.05
RPRC001381,1,0,0,0,0.05,0.00,0.00,0.00
RPRC016144,0,0,0,0,0.00,0.00,0.00,0.00
RPRC000181,0,0,0,0,0.00,0.00,0.00,0.00
RPRC001382,104,108,18,74,5.17,7.82,2.25,12.59
RPRC005763,821,492,312,168,40.84,35.62,39.04,28.58
RPRC005751,732,385,783,453,36.41,27.88,97.97,77.06
RPRC005830,507,394,409,273,25.22,28.53,51.18,46.44
RPRC005829,8383,6357,1565,1191,416.98,460.27,195.82,202.60
RPRC005806,200,153,287,178,9.95,11.08,35.91,30.28
RPRC005827,380,331,290,190,18.90,23.97,36.29,32.32
RPRC005807,200,142,112,85,9.95,10.28,14.01,14.46
RPRC005750,2046,988,1283,1484,101.77,71.53,160.53,252.44
RPRC005821,223,117,230,265,11.09,8.47,28.78,45.08
RPRC005819,3,3,1,0,0.15,0.22,0.13,0.00
RPRC005817,2434,2070,725,746,121.07,149.87,90.71,126.90
RPRC005813,1689,675,924,696,84.01,48.87,115.61,118.39
RPRC005808,134,70,37,37,6.67,5.07,4.63,6.29
RPRC001383,32,25,22,12,1.59,1.81,2.75,2.04
RPRC002627,14,9,5,2,0.70,0.65,0.63,0.34
RPRC002605,75,65,18,11,3.73,4.71,2.25,1.87
RPRC002628,229,143,147,62,11.39,10.35,18.39,10.55
RPRC002606,430,290,130,112,21.39,21.00,16.27,19.05
RPRC002607,1489,900,429,212,74.06,65.16,53.68,36.06
RPRC002623,3481,2158,1005,716,173.15,156.25,125.75,121.80
RPRC002622,941,608,220,176,46.81,44.02,27.53,29.94
RPRC002621,487,632,203,220,24.22,45.76,25.40,37.42
RPRC002629,946,805,610,365,47.05,58.28,76.32,62.09
RPRC002608,286,186,55,67,14.23,13.47,6.88,11.40
RPRC002630,27,26,16,19,1.34,1.88,2.00,3.23
RPRC002620,277,137,49,38,13.78,9.92,6.13,6.46
RPRC002631,1359,1075,397,342,67.60,77.83,49.67,58.18
RPRC002615,3046,2305,1480,1158,151.51,166.89,185.18,196.98
RPRC002612,216,126,168,120,10.74,9.12,21.02,20.41
RPRC002609,2509,1773,630,476,124.80,128.37,78.83,80.97
RPRC002610,1461,1086,623,431,72.67,78.63,77.95,73.32
RPRC002632,1896,1275,270,178,94.31,92.31,33.78,30.28
RPRC011569,0,0,0,0,0.00,0.00,0.00,0.00
RPRC002230,50,29,26,31,2.49,2.10,3.25,5.27
RPRC002231,15,19,5,2,0.75,1.38,0.63,0.34
RPRC002232,4919,3498,657,533,244.67,253.27,82.21,90.67
RPRC012366,0,0,0,0,0.00,0.00,0.00,0.00
RPRC012365,0,0,0,0,0.00,0.00,0.00,0.00
RPRC012358,1477,1014,952,696,73.47,73.42,119.12,118.39
RPRC012274,4108,3673,1075,2527,204.33,265.94,134.51,429.86
RPRC012322,1093,711,479,370,54.37,51.48,59.93,62.94
RPRC017142,2299,1709,888,652,114.35,123.74,111.11,110.91
RPRC012327,2687,1840,1429,888,133.65,133.22,178.80,151.05
RPRC001322,1090,910,431,311,54.22,65.89,53.93,52.90
RPRC012350,1590,1049,1152,809,79.09,75.95,144.14,137.62
RPRC012349,916,612,317,244,45.56,44.31,39.66,41.51
RPRC000495,3,4,0,1,0.15,0.29,0.00,0.17
RPRC012328,895,529,664,444,44.52,38.30,83.08,75.53
RPRC012329,126,109,71,45,6.27,7.89,8.88,7.65
RPRC012330,118,85,45,36,5.87,6.15,5.63,6.12
RPRC012348,1,0,0,0,0.05,0.00,0.00,0.00
RPRC012331,15857,10917,11037,7316,788.74,790.43,1380.98,1244.49
RPRC012335,5206,3687,2530,1498,258.95,266.95,316.56,254.82
RPRC012336,843,689,548,316,41.93,49.89,68.57,53.75
RPRC012272,1997,1603,886,611,99.33,116.06,110.86,103.93
RPRC012260,3644,2016,2954,1992,181.26,145.96,369.61,338.85
RPRC012258,1922,1125,697,497,95.60,81.45,87.21,84.54
RPRC001323,883,595,248,208,43.92,43.08,31.03,35.38
RPRC001324,507,307,209,142,25.22,22.23,26.15,24.15
RPRC012337,91,85,57,41,4.53,6.15,7.13,6.97
RPRC012256,7163,5022,1287,1369,356.29,363.61,161.03,232.87
RPRC012347,67,41,27,23,3.33,2.97,3.38,3.91
RPRC012346,73,67,36,22,3.63,4.85,4.50,3.74
RPRC012338,327,237,64,59,16.27,17.16,8.01,10.04
RPRC012345,3862,2726,2118,1912,192.10,197.37,265.01,325.24
RPRC012254,7,15,1,1,0.35,1.09,0.13,0.17
RPRC012251,735,507,301,215,36.56,36.71,37.66,36.57
RPRC012240,1347,1011,595,422,67.00,73.20,74.45,71.78
RPRC012238,73,71,3,0,3.63,5.14,0.38,0.00
RPRC012344,2,1,0,0,0.10,0.07,0.00,0.00
RPRC012237,83,47,13,8,4.13,3.40,1.63,1.36
RPRC012234,3438,2165,1547,1017,171.01,156.75,193.56,173.00
RPRC012229,4580,2793,1229,1086,227.81,202.22,153.78,184.73
RPRC012228,3397,2446,1416,1101,168.97,177.10,177.17,187.29
RPRC012343,2174,1716,1369,989,108.14,124.24,171.29,168.23
RPRC012339,584,434,308,268,29.05,31.42,38.54,45.59
RPRC012226,2877,2115,1063,664,143.10,153.13,133.01,112.95
RPRC012224,472,367,163,438,23.48,26.57,20.40,74.51
RPRC012222,630,478,216,220,31.34,34.61,27.03,37.42
RPRC001325,1886,1283,1047,667,93.81,92.89,131.00,113.46
RPRC012342,1774,1026,612,429,88.24,74.29,76.58,72.98
RPRC012221,2477,1466,712,428,123.21,106.14,89.09,72.81
RPRC012219,3554,2593,1775,1140,176.78,187.74,222.09,193.92
RPRC015090,236,187,120,53,11.74,13.54,15.01,9.02
RPRC015091,203,173,60,55,10.10,12.53,7.51,9.36
RPRC015092,1281,1040,748,677,63.72,75.30,93.59,115.16
RPRC015134,594,374,309,216,29.55,27.08,38.66,36.74
RPRC015133,14,14,0,0,0.70,1.01,0.00,0.00
RPRC015132,140,125,37,58,6.96,9.05,4.63,9.87
RPRC015089,307,207,264,174,15.27,14.99,33.03,29.60
RPRC015125,828,561,656,379,41.19,40.62,82.08,64.47
RPRC015124,678,424,373,343,33.72,30.70,46.67,58.35
RPRC015093,1426,913,642,473,70.93,66.10,80.33,80.46
RPRC001326,873,672,382,273,43.42,48.65,47.80,46.44
RPRC001327,1238,1003,365,284,61.58,72.62,45.67,48.31
RPRC015088,677,530,465,301,33.67,38.37,58.18,51.20
RPRC015119,2734,1808,2213,1421,135.99,130.90,276.90,241.72
RPRC015087,1102,740,385,271,54.81,53.58,48.17,46.10
RPRC015094,65,58,31,17,3.23,4.20,3.88,2.89
RPRC001328,2150,1508,442,342,106.94,109.18,55.30,58.18
RPRC015095,2085,1692,858,644,103.71,122.51,107.36,109.55
RPRC015118,1863,1279,947,624,92.67,92.60,118.49,106.15
RPRC015086,74,58,29,14,3.68,4.20,3.63,2.38
RPRC015085,4284,3261,1626,1194,213.09,236.11,203.45,203.11
RPRC001329,465,342,344,184,23.13,24.76,43.04,31.30
RPRC001330,386,278,117,81,19.20,20.13,14.64,13.78
RPRC015080,6818,4852,1939,1588,339.13,351.30,242.61,270.13
RPRC015077,7846,4853,2773,2257,390.27,351.37,346.97,383.93
RPRC015100,460,273,170,131,22.88,19.77,21.27,22.28
RPRC015101,9,5,1,1,0.45,0.36,0.13,0.17
RPRC015102,4,14,6,4,0.20,1.01,0.75,0.68
RPRC015103,710,504,158,138,35.32,36.49,19.77,23.47
RPRC017361,2893,1887,1029,958,143.90,136.62,128.75,162.96
RPRC015073,1894,1116,570,393,94.21,80.80,71.32,66.85
RPRC015067,1996,1461,1124,784,99.28,105.78,140.64,133.36
RPRC015105,466,280,293,182,23.18,20.27,36.66,30.96
RPRC015106,1133,780,318,259,56.36,56.47,39.79,44.06
RPRC015063,2440,1584,1570,1039,121.37,114.69,196.44,176.74
RPRC015059,2330,1660,512,398,115.90,120.19,64.06,67.70
RPRC015109,1704,1296,950,912,84.76,93.83,118.87,155.14
RPRC015057,1517,1035,804,627,75.46,74.94,100.60,106.66
RPRC001331,6413,4296,2547,1941,318.99,311.04,318.69,330.17
RPRC015117,3595,1972,109,114,178.82,142.78,13.64,19.39
RPRC015116,3310,2414,2018,1311,164.64,174.78,252.50,223.01
RPRC001332,2066,1605,1020,766,102.76,116.21,127.63,130.30
RPRC015056,2228,1585,1236,908,110.82,114.76,154.65,154.46
RPRC001333,1532,1082,788,745,76.20,78.34,98.60,126.73
RPRC015110,1862,1279,639,472,92.62,92.60,79.95,80.29
RPRC015055,952,691,205,167,47.35,50.03,25.65,28.41
RPRC015041,215339,134800,26689,24756,10711.11,9759.95,3339.40,4211.13
RPRC015111,145,106,140,102,7.21,7.67,17.52,17.35
RPRC015040,8416,5325,1903,1442,418.62,385.55,238.11,245.29
RPRC000425,4146,2462,1936,1328,206.22,178.26,242.24,225.90
RPRC015112,25,9,13,17,1.24,0.65,1.63,2.89
RPRC002570,47,17,12,4,2.34,1.23,1.50,0.68
RPRC003990,12,3,12,1,0.60,0.22,1.50,0.17
RPRC006710,6,3,0,0,0.30,0.22,0.00,0.00
RPRC014174,250,140,203,117,12.44,10.14,25.40,19.90
RPRC014093,688,385,753,437,34.22,27.88,94.22,74.34
RPRC002888,344,258,218,248,17.11,18.68,27.28,42.19
RPRC015507,0,0,0,0,0.00,0.00,0.00,0.00
RPRC011365,3067,2256,1125,895,152.55,163.34,140.76,152.24
RPRC001003,5161,3665,1681,1184,256.71,265.36,210.33,201.40
RPRC000393,750,569,572,301,37.31,41.20,71.57,51.20
RPRC011364,817,557,334,276,40.64,40.33,41.79,46.95
RPRC011361,2407,1599,736,645,119.73,115.77,92.09,109.72
RPRC011367,224,155,132,98,11.14,11.22,16.52,16.67
RPRC006815,29,38,40,14,1.44,2.75,5.00,2.38
RPRC016646,0,0,0,0,0.00,0.00,0.00,0.00
RPRC000008,25,27,65,64,1.24,1.95,8.13,10.89
RPRC007437,7537,5370,1585,1126,374.90,388.80,198.32,191.54
RPRC007433,3195,2144,850,681,158.92,155.23,106.35,115.84
RPRC007538,8003,4623,2408,1901,398.07,334.72,301.30,323.37
RPRC007441,574,365,786,523,28.55,26.43,98.35,88.97
RPRC001274,30,32,2,7,1.49,2.32,0.25,1.19
RPRC007472,692,815,101,39,34.42,59.01,12.64,6.63
RPRC007537,6375,4024,2416,1828,317.10,291.35,302.30,310.95
RPRC007415,3540,2496,1779,1233,176.08,180.72,222.59,209.74
RPRC007535,1496,991,855,540,74.41,71.75,106.98,91.86
RPRC007534,3691,2738,1608,1084,183.59,198.24,201.20,184.39
RPRC007524,825,692,467,347,41.04,50.10,58.43,59.03
RPRC007525,1365,782,505,365,67.90,56.62,63.19,62.09
RPRC001275,2451,1690,1067,766,121.91,122.36,133.51,130.30
RPRC007533,0,2,0,1,0.00,0.14,0.00,0.17
RPRC010573,0,1,0,0,0.00,0.07,0.00,0.00
RPRC010575,178,118,51,33,8.85,8.54,6.38,5.61
RPRC006379,1919,1225,701,569,95.45,88.69,87.71,96.79
RPRC006394,165,115,74,67,8.21,8.33,9.26,11.40
RPRC006393,3498,2254,1215,1195,173.99,163.20,152.02,203.28
RPRC005021,268,151,287,181,13.33,10.93,35.91,30.79
RPRC005019,696,466,565,341,34.62,33.74,70.69,58.01
RPRC006427,697,480,224,152,34.67,34.75,28.03,25.86
RPRC012287,1066,754,344,254,53.02,54.59,43.04,43.21
RPRC012289,2946,2272,846,704,146.54,164.50,105.85,119.75
RPRC012304,586,450,104,113,29.15,32.58,13.01,19.22
RPRC001214,1529,985,233,250,76.05,71.32,29.15,42.53
RPRC000207,1388,847,396,334,69.04,61.33,49.55,56.82
RPRC012291,2107,1451,813,618,104.80,105.06,101.72,105.13
RPRC012296,237,150,78,54,11.79,10.86,9.76,9.19
RPRC000157,0,0,0,0,0.00,0.00,0.00,0.00
RPRC012302,1,1,0,1,0.05,0.07,0.00,0.17
RPRC004764,2,0,0,0,0.10,0.00,0.00,0.00
RPRC003366,0,1,0,0,0.00,0.07,0.00,0.00
RPRC006738,0,0,0,0,0.00,0.00,0.00,0.00
RPRC001259,1,4,0,0,0.05,0.29,0.00,0.00
RPRC002973,0,0,0,0,0.00,0.00,0.00,0.00
RPRC004607,0,0,0,0,0.00,0.00,0.00,0.00
RPRC015703,0,0,0,0,0.00,0.00,0.00,0.00
RPRC012478,0,0,0,0,0.00,0.00,0.00,0.00
RPRC006545,0,0,0,0,0.00,0.00,0.00,0.00
RPRC006725,424,414,685,807,21.09,29.97,85.71,137.27
RPRC006729,3229,2296,1682,1249,160.61,166.24,210.46,212.46
RPRC006722,5,4,1,1,0.25,0.29,0.13,0.17
RPRC006758,793,562,225,183,39.44,40.69,28.15,31.13
RPRC015997,0,0,0,0,0.00,0.00,0.00,0.00
RPRC013197,1389,978,628,544,69.09,70.81,78.58,92.54
RPRC003671,0,1,0,0,0.00,0.07,0.00,0.00
RPRC003670,0,2,0,0,0.00,0.14,0.00,0.00
RPRC003669,0,1,0,0,0.00,0.07,0.00,0.00
RPRC008878,1,1,0,0,0.05,0.07,0.00,0.00
RPRC008652,7,3,3,1,0.35,0.22,0.38,0.17
RPRC016427,0,0,0,0,0.00,0.00,0.00,0.00
RPRC000697,701,498,399,323,34.87,36.06,49.92,54.94
RPRC006480,171,136,448,243,8.51,9.85,56.05,41.34
RPRC009345,10,19,1,1,0.50,1.38,0.13,0.17
RPRC017462,0,0,0,1,0.00,0.00,0.00,0.17
RPRC014771,1850,1193,824,585,92.02,86.38,103.10,99.51
RPRC014772,22,52,2,5,1.09,3.76,0.25,0.85
RPRC017004,5,13,1,1,0.25,0.94,0.13,0.17
RPRC000040,32,16,54,48,1.59,1.16,6.76,8.17
RPRC004602,2646,1705,509,520,131.61,123.45,63.69,88.45
RPRC004971,0,0,0,0,0.00,0.00,0.00,0.00
RPRC017449,62,36,11,12,3.08,2.61,1.38,2.04
RPRC007238,2,7,0,0,0.10,0.51,0.00,0.00
RPRC002955,0,0,0,0,0.00,0.00,0.00,0.00
RPRC007116,545,379,415,301,27.11,27.44,51.93,51.20
RPRC000552,1246,873,820,592,61.98,63.21,102.60,100.70
RPRC007115,0,0,0,0,0.00,0.00,0.00,0.00
RPRC007042,433,341,263,193,21.54,24.69,32.91,32.83
RPRC007113,603,452,290,215,29.99,32.73,36.29,36.57
RPRC001563,16,28,2,0,0.80,2.03,0.25,0.00
RPRC007111,2,8,0,1,0.10,0.58,0.00,0.17
RPRC007045,433,307,171,133,21.54,22.23,21.40,22.62
RPRC001564,378,292,281,325,18.80,21.14,35.16,55.28
RPRC007043,154,85,101,102,7.66,6.15,12.64,17.35
RPRC010513,0,1,2,0,0.00,0.07,0.25,0.00
RPRC010511,7,1,4,1,0.35,0.07,0.50,0.17
RPRC010510,0,1,0,0,0.00,0.07,0.00,0.00
RPRC010509,0,0,0,0,0.00,0.00,0.00,0.00
RPRC010508,0,0,0,0,0.00,0.00,0.00,0.00
RPRC010507,1,0,0,0,0.05,0.00,0.00,0.00
RPRC015517,1,1,0,0,0.05,0.07,0.00,0.00
RPRC010505,0,0,0,0,0.00,0.00,0.00,0.00
RPRC010504,0,0,0,0,0.00,0.00,0.00,0.00
RPRC012878,2511,2064,1311,829,124.90,149.44,164.04,141.02
RPRC012884,1324,889,457,339,65.86,64.37,57.18,57.67
RPRC012917,1541,1190,890,569,76.65,86.16,111.36,96.79
RPRC012914,301,262,351,329,14.97,18.97,43.92,55.96
RPRC012904,262,188,182,122,13.03,13.61,22.77,20.75
RPRC012886,248,256,144,129,12.34,18.54,18.02,21.94
RPRC012887,405,404,245,211,20.14,29.25,30.66,35.89
RPRC012903,346,204,126,50,17.21,14.77,15.77,8.51
RPRC012888,283,199,102,39,14.08,14.41,12.76,6.63
RPRC012890,2,0,0,0,0.10,0.00,0.00,0.00
RPRC012891,10,4,0,0,0.50,0.29,0.00,0.00
RPRC012900,975,656,283,240,48.50,47.50,35.41,40.83
RPRC012896,10238,7317,4772,3281,509.25,529.77,597.09,558.12
RPRC001260,2394,1513,826,650,119.08,109.55,103.35,110.57
RPRC012895,580,351,189,142,28.85,25.41,23.65,24.15
RPRC012893,25,18,1,5,1.24,1.30,0.13,0.85
RPRC010662,438,299,160,106,21.79,21.65,20.02,18.03
RPRC010463,478,269,369,216,23.78,19.48,46.17,36.74
RPRC010464,1201,789,431,306,59.74,57.13,53.93,52.05
RPRC010462,782,489,249,198,38.90,35.41,31.16,33.68
RPRC010460,1725,1205,655,406,85.80,87.25,81.96,69.06
RPRC010459,1524,1148,838,492,75.80,83.12,104.85,83.69
RPRC010495,1599,1030,579,451,79.54,74.58,72.45,76.72
RPRC010512,811,449,393,264,40.34,32.51,49.17,44.91
RPRC010515,1535,1108,958,640,76.35,80.22,119.87,108.87
RPRC010386,1507,992,694,614,74.96,71.82,86.84,104.44
RPRC010382,1801,1346,977,587,89.58,97.45,122.24,99.85
RPRC010378,17829,11711,1832,1912,886.83,847.91,229.22,325.24
RPRC010659,428,361,329,256,21.29,26.14,41.17,43.55
RPRC010553,8778,7225,2194,1640,436.62,523.11,274.52,278.97
RPRC000745,877,494,363,274,43.62,35.77,45.42,46.61
RPRC010655,916,543,350,182,45.56,39.31,43.79,30.96
RPRC017164,1446,1157,981,701,71.93,83.77,122.75,119.24
RPRC015039,106,67,81,65,5.27,4.85,10.13,11.06
RPRC004653,37,28,17,8,1.84,2.03,2.13,1.36
RPRC004193,6319,4336,4974,3377,314.31,313.94,622.36,574.45
RPRC004255,1343,917,1195,715,66.80,66.39,149.52,121.63
RPRC004189,9348,4518,1762,1507,464.98,327.12,220.47,256.35
RPRC004188,2013,1231,558,412,100.13,89.13,69.82,70.08
RPRC000187,699,446,240,154,34.77,32.29,30.03,26.20
RPRC004254,1002,694,262,206,49.84,50.25,32.78,35.04
RPRC004198,3467,2205,1836,1420,172.45,159.65,229.73,241.55
RPRC004187,2248,1725,952,807,111.82,124.90,119.12,137.27
RPRC004186,470,315,562,490,23.38,22.81,70.32,83.35
RPRC004205,0,0,0,0,0.00,0.00,0.00,0.00
RPRC004180,4094,2841,4022,2505,203.64,205.70,503.24,426.11
RPRC004250,0,0,0,0,0.00,0.00,0.00,0.00
RPRC004179,0,0,0,1,0.00,0.00,0.00,0.17
RPRC004246,52,63,10,24,2.59,4.56,1.25,4.08
RPRC004245,592,449,134,62,29.45,32.51,16.77,10.55
RPRC004231,1296,1263,377,218,64.46,91.45,47.17,37.08
RPRC004229,1158,564,89,116,57.60,40.84,11.14,19.73
RPRC004207,12,13,4,4,0.60,0.94,0.50,0.68
RPRC004228,129,193,37,27,6.42,13.97,4.63,4.59
RPRC004225,16,8,2,0,0.80,0.58,0.25,0.00
RPRC004208,260,168,143,70,12.93,12.16,17.89,11.91
RPRC004224,0,4,0,0,0.00,0.29,0.00,0.00
RPRC017604,2,0,0,0,0.10,0.00,0.00,0.00
RPRC007526,7,4,1,5,0.35,0.29,0.13,0.85
RPRC007506,1055,807,925,633,52.48,58.43,115.74,107.68
RPRC007527,156,164,54,83,7.76,11.87,6.76,14.12
RPRC007749,80,72,21,31,3.98,5.21,2.63,5.27
RPRC001611,362,363,165,194,18.01,26.28,20.65,33.00
RPRC007528,216,82,5,54,10.74,5.94,0.63,9.19
RPRC007591,1237,877,607,431,61.53,63.50,75.95,73.32
RPRC001612,3657,2355,2789,1634,181.90,170.51,348.97,277.95
RPRC001613,4712,2908,4752,2870,234.38,210.55,594.58,488.20
RPRC007503,40508,24948,5622,5195,2014.90,1806.31,703.44,883.70
