gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts,Rep1_CondA_CPM,Rep2_CondA_CPM,Rep1_CondB_CPM,Rep2_CondB_CPM
RPRC012760,0,0,0,0,0.00,0.00,0.00,0.00
RPRC002192,0,0,0,0,0.00,0.00,0.00,0.00
RPRC006866,1,64,0,48,0.05,4.63,0.00,8.17
RPRC013777,0,0,0,0,0.00,0.00,0.00,0.00
RPRC014994,1,0,0,0,0.05,0.00,0.00,0.00
RPRC001686,13,16,5,2,0.65,1.16,0.63,0.34
RPRC000472,0,0,0,0,0.00,0.00,0.00,0.00
RPRC014993,1,0,0,0,0.05,0.00,0.00,0.00
RPRC014992,0,0,0,0,0.00,0.00,0.00,0.00
RPRC014989,2444,1422,1444,1102,121.57,102.96,180.68,187.46
RPRC014288,891,520,680,507,44.32,37.65,85.08,86.24
RPRC001687,7,6,3,3,0.35,0.43,0.38,0.51
RPRC014305,1,1,2,2,0.05,0.07,0.25,0.34
RPRC014303,1,1,0,0,0.05,0.07,0.00,0.00
RPRC016010,0,0,0,0,0.00,0.00,0.00,0.00
RPRC016037,0,0,0,0,0.00,0.00,0.00,0.00
RPRC014298,117,150,29,151,5.82,10.86,3.63,25.69
RPRC014301,0,1,0,0,0.00,0.07,0.00,0.00
RPRC014299,0,1,0,0,0.00,0.07,0.00,0.00
RPRC007530,0,0,0,0,0.00,0.00,0.00,0.00
RPRC002367,6,2,0,0,0.30,0.14,0.00,0.00
RPRC000279,564,359,656,461,28.05,25.99,82.08,78.42
RPRC005636,1,3,0,2,0.05,0.22,0.00,0.34
RPRC005576,917,633,380,334,45.61,45.83,47.55,56.82
RPRC000394,475,451,686,630,23.63,32.65,85.83,107.17
RPRC005574,1466,1469,954,1472,72.92,106.36,119.37,250.39
RPRC000013,1,1,0,2,0.05,0.07,0.00,0.34
RPRC005577,2443,1838,1087,662,121.52,133.08,136.01,112.61
RPRC005573,35,22,6,3,1.74,1.59,0.75,0.51
RPRC005571,1,0,0,0,0.05,0.00,0.00,0.00
RPRC005569,631,430,109,67,31.39,31.13,13.64,11.40
RPRC000370,5,8,1,1,0.25,0.58,0.13,0.17
RPRC005566,497,393,183,95,24.72,28.45,22.90,16.16
RPRC005564,568,427,260,189,28.25,30.92,32.53,32.15
RPRC005539,155,57,87,54,7.71,4.13,10.89,9.19
RPRC005635,156,107,237,149,7.76,7.75,29.65,25.35
RPRC005536,1473,1200,500,396,73.27,86.88,62.56,67.36
RPRC005585,268,206,134,76,13.33,14.92,16.77,12.93
RPRC005626,3,0,1,3,0.15,0.00,0.13,0.51
RPRC001667,541,383,271,189,26.91,27.73,33.91,32.15
RPRC005587,1706,1257,888,594,84.86,91.01,111.11,101.04
RPRC005535,891,685,424,298,44.32,49.60,53.05,50.69
RPRC005533,1019,757,567,468,50.69,54.81,70.94,79.61
RPRC005625,570,385,484,351,28.35,27.88,60.56,59.71
RPRC005624,281,202,283,195,13.98,14.63,35.41,33.17
RPRC005623,212,143,173,116,10.55,10.35,21.65,19.73
RPRC005605,476,344,624,392,23.68,24.91,78.08,66.68
RPRC017190,0,0,0,0,0.00,0.00,0.00,0.00
RPRC005607,242,140,120,81,12.04,10.14,15.01,13.78
RPRC001668,803,499,297,216,39.94,36.13,37.16,36.74
RPRC005609,3679,2861,1981,1376,183.00,207.15,247.87,234.06
RPRC011028,2279,1488,1352,877,113.36,107.74,169.17,149.18
RPRC011212,10,5,7,2,0.50,0.36,0.88,0.34
RPRC011025,1022,640,273,213,50.83,46.34,34.16,36.23
RPRC011022,2761,1988,1042,805,137.33,143.94,130.38,136.93
